date,AQI
2014/1/1,319
2014/1/2,352
2014/1/3,338
2014/1/4,355
2014/1/5,343
2014/1/6,287
2014/1/7,177
2014/1/8,300
2014/1/9,253
2014/1/10,223
2014/1/11,300
2014/1/12,305
2014/1/13,325
2014/1/14,247
2014/1/15,153
2014/1/16,213
2014/1/17,328
2014/1/18,338
2014/1/19,367
2014/1/20,345
2014/1/21,382
2014/1/22,302
2014/1/23,309
2014/1/24,280
2014/1/25,217
2014/1/26,326
2014/1/27,197
2014/1/28,162
2014/1/29,305
2014/1/30,316
2014/1/31,385
2014/2/1,362
2014/2/2,315
2014/2/3,389
2014/2/4,303
2014/2/5,150
2014/2/6,125
2014/2/7,138
2014/2/8,150
2014/2/9,301
2014/2/10,305
2014/2/11,217
2014/2/12,270
2014/2/13,207
2014/2/14,180
2014/2/15,273
2014/2/16,180
2014/2/17,153
2014/2/18,217
2014/2/19,188
2014/2/20,311
2014/2/21,349
2014/2/22,330
2014/2/23,316
2014/2/24,333
2014/2/25,328
2014/2/26,162
2014/2/27,290
2014/2/28,335
2014/3/1,330
2014/3/2,193
2014/3/3,311
2014/3/4,233
2014/3/5,167
2014/3/6,257
2014/3/7,143
2014/3/8,163
2014/3/9,283
2014/3/10,327
2014/3/11,353
2014/3/12,306
2014/3/13,207
2014/3/14,250
2014/3/15,328
2014/3/16,328
2014/3/17,321
2014/3/18,327
2014/3/19,348
2014/3/20,328
2014/3/21,318
2014/3/22,187
2014/3/23,290
2014/3/24,210
2014/3/25,237
2014/3/26,315
2014/3/27,333
2014/3/28,277
2014/3/29,267
2014/3/30,338
2014/3/31,318
2014/4/1,305
2014/4/2,304
2014/4/3,308
2014/4/4,293
2014/4/5,308
2014/4/6,133
2014/4/7,237
2014/4/8,319
2014/4/9,326
2014/4/10,318
2014/4/11,312
2014/4/12,300
2014/4/13,287
2014/4/14,325
2014/4/15,297
2014/4/16,263
2014/4/17,354
2014/4/18,315
2014/4/19,170
2014/4/20,257
2014/4/21,302
2014/4/22,310
