date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,15,5,0.0,8.7,4,0,06:12 AM,05:04 PM,06:52 AM,05:03 PM,-1,11,12,11,17,0,43,0.0,1021,15,10,242,12,shanghai
2014-01-02,14,7,0.0,8.7,4,2,07:10 AM,06:12 PM,06:53 AM,05:04 PM,4,11,13,11,21,3,60,0.0,1019,14,10,141,14,shanghai
2014-01-03,16,9,0.0,8.7,4,10,08:02 AM,07:22 PM,06:53 AM,05:05 PM,3,11,12,11,21,26,55,0.0,1017,16,10,295,14,shanghai
2014-01-04,10,4,0.0,5.5,2,17,08:49 AM,08:29 PM,06:53 AM,05:05 PM,3,7,9,7,17,24,68,0.1,1022,10,10,169,14,shanghai
2014-01-05,10,3,0.0,8.7,3,24,09:32 AM,09:35 PM,06:53 AM,05:06 PM,3,9,9,9,9,12,66,0.0,1024,10,10,117,6,shanghai
2014-01-06,11,5,0.0,8.7,3,31,10:11 AM,10:37 PM,06:53 AM,05:07 PM,5,7,9,7,27,4,73,0.0,1024,11,10,120,19,shanghai
2014-01-07,12,9,0.0,5.5,3,39,10:50 AM,11:39 PM,06:53 AM,05:08 PM,8,8,10,8,23,68,88,0.2,1019,12,9,200,15,shanghai
2014-01-08,9,4,0.0,4.0,2,46,11:28 AM,No moonset,06:53 AM,05:09 PM,5,4,8,4,33,83,82,0.0,1024,9,10,294,23,shanghai
2014-01-09,5,2,0.0,8.7,2,53,12:05 PM,12:37 AM,06:54 AM,05:09 PM,-2,1,4,1,20,12,63,0.0,1033,5,10,158,16,shanghai
2014-01-10,7,1,0.0,8.7,2,61,12:45 PM,01:34 AM,06:54 AM,05:10 PM,-0,4,6,4,15,18,63,0.0,1033,7,10,93,11,shanghai
2014-01-11,7,5,0.0,4.0,2,68,01:27 PM,02:29 AM,06:54 AM,05:11 PM,3,3,6,3,23,100,81,1.7,1031,7,6,81,15,shanghai
2014-01-12,9,4,0.0,5.5,2,75,02:11 PM,03:23 AM,06:53 AM,05:12 PM,2,3,6,3,21,64,78,3.0,1031,9,9,96,14,shanghai
2014-01-13,6,3,0.0,7.1,1,82,02:58 PM,04:14 AM,06:53 AM,05:13 PM,-0,2,5,2,22,78,69,0.0,1032,6,10,26,16,shanghai
2014-01-14,7,2,0.0,7.1,2,90,03:48 PM,05:02 AM,06:53 AM,05:14 PM,-0,2,5,2,18,19,67,0.1,1032,7,10,13,14,shanghai
2014-01-15,7,1,0.0,8.7,2,97,04:38 PM,05:47 AM,06:53 AM,05:15 PM,-0,4,6,4,14,2,64,0.0,1034,7,10,161,11,shanghai
2014-01-16,10,2,0.0,8.7,3,100,05:31 PM,06:29 AM,06:53 AM,05:15 PM,3,6,7,6,13,16,73,0.0,1029,10,10,123,9,shanghai
2014-01-17,11,4,0.0,8.7,2,89,06:23 PM,07:08 AM,06:53 AM,05:16 PM,3,8,9,8,9,30,71,0.0,1027,11,10,208,6,shanghai
2014-01-18,8,3,0.0,8.7,3,81,07:16 PM,07:44 AM,06:53 AM,05:17 PM,1,4,7,4,20,3,69,0.0,1034,8,10,338,15,shanghai
2014-01-19,9,1,0.0,8.7,3,74,08:09 PM,08:18 AM,06:52 AM,05:18 PM,3,7,9,7,15,1,69,0.0,1030,9,10,148,11,shanghai
2014-01-20,11,3,0.0,8.7,2,67,09:02 PM,08:52 AM,06:52 AM,05:19 PM,-4,4,7,4,28,17,46,0.0,1028,11,10,271,19,shanghai
2014-01-21,6,0,0.0,8.7,2,59,09:56 PM,09:25 AM,06:52 AM,05:20 PM,-8,1,5,1,19,0,42,0.0,1032,6,10,257,16,shanghai
2014-01-22,5,-1,0.0,8.7,2,52,10:51 PM,09:58 AM,06:51 AM,05:21 PM,-6,5,6,5,8,0,42,0.0,1031,5,10,249,7,shanghai
2014-01-23,10,2,0.0,8.7,3,45,11:48 PM,10:34 AM,06:51 AM,05:22 PM,1,4,7,4,24,0,63,0.0,1024,10,10,155,18,shanghai
2014-01-24,15,5,0.0,8.7,3,38,No moonrise,11:13 AM,06:51 AM,05:23 PM,4,8,10,8,35,24,66,0.0,1018,15,10,173,20,shanghai
2014-01-25,16,8,0.0,8.7,3,30,12:47 AM,11:56 AM,06:50 AM,05:24 PM,5,9,11,9,33,26,66,0.1,1020,16,10,207,22,shanghai
2014-01-26,9,5,0.0,5.6,2,23,01:49 AM,12:44 PM,06:50 AM,05:24 PM,-0,4,7,4,24,59,61,0.0,1029,9,10,36,18,shanghai
2014-01-27,12,4,0.0,8.7,3,16,02:50 AM,01:39 PM,06:49 AM,05:25 PM,3,7,9,7,20,17,68,0.0,1024,12,10,145,14,shanghai
2014-01-28,14,6,0.0,8.7,4,9,03:52 AM,02:40 PM,06:49 AM,05:26 PM,5,8,10,8,19,20,72,0.0,1024,14,10,84,13,shanghai
2014-01-29,12,7,0.0,5.6,3,1,04:51 AM,03:46 PM,06:48 AM,05:27 PM,8,9,10,9,18,70,88,1.1,1020,12,10,180,13,shanghai
2014-01-30,17,8,0.0,8.7,4,0,05:46 AM,04:55 PM,06:48 AM,05:28 PM,10,13,14,13,13,16,81,0.0,1019,17,8,243,9,shanghai
2014-01-31,17,8,0.0,8.7,4,0,06:36 AM,06:04 PM,06:47 AM,05:29 PM,9,11,13,11,35,19,82,0.0,1019,17,10,143,21,shanghai
2014-02-01,24,13,0.0,8.7,5,6,07:22 AM,07:13 PM,06:46 AM,05:30 PM,12,17,18,17,30,18,73,0.0,1013,24,10,238,17,shanghai
2014-02-02,17,11,0.0,8.7,4,14,08:04 AM,08:19 PM,06:46 AM,05:31 PM,11,15,15,15,13,15,78,0.0,1012,17,10,147,9,shanghai
2014-02-03,10,4,0.0,4.1,2,21,08:45 AM,09:24 PM,06:45 AM,05:32 PM,4,4,8,4,32,83,78,0.1,1018,10,10,29,23,shanghai
2014-02-04,6,3,0.0,8.7,2,29,09:25 AM,10:25 PM,06:45 AM,05:32 PM,-4,0,4,0,26,31,55,0.0,1027,6,10,36,20,shanghai
2014-02-05,6,4,0.0,4.1,2,36,10:04 AM,11:25 PM,06:44 AM,05:33 PM,3,2,6,2,30,94,80,1.2,1023,6,9,88,20,shanghai
2014-02-06,9,8,0.0,4.1,2,44,10:44 AM,No moonset,06:43 AM,05:34 PM,8,6,9,6,28,100,94,5.7,1018,9,7,54,19,shanghai
2014-02-07,7,3,0.0,4.1,2,51,11:26 AM,12:22 AM,06:42 AM,05:35 PM,4,2,6,2,33,100,89,0.9,1018,7,8,145,23,shanghai
2014-02-08,6,1,0.0,5.6,1,59,12:09 PM,01:17 AM,06:42 AM,05:36 PM,-1,-1,3,-1,26,65,76,0.0,1022,6,10,336,19,shanghai
2014-02-09,3,0,0.3,4.1,1,66,12:56 PM,02:09 AM,06:41 AM,05:37 PM,-2,-3,2,-3,35,89,75,0.5,1026,3,8,219,25,shanghai
2014-02-10,3,-1,0.1,8.7,1,74,01:44 PM,02:59 AM,06:40 AM,05:38 PM,-5,-5,0,-5,34,55,66,0.2,1029,3,9,337,25,shanghai
2014-02-11,5,-2,0.0,7.2,1,81,02:34 PM,03:45 AM,06:39 AM,05:38 PM,-5,-4,1,-4,28,58,66,0.0,1027,5,10,333,21,shanghai
2014-02-12,6,1,0.0,4.1,1,89,03:26 PM,04:27 AM,06:38 AM,05:39 PM,1,-0,4,-0,30,95,79,0.9,1027,6,7,147,21,shanghai
2014-02-13,7,4,0.0,4.1,2,97,04:18 PM,05:08 AM,06:37 AM,05:40 PM,1,1,5,1,28,83,74,0.4,1029,7,9,139,20,shanghai
2014-02-14,8,2,0.0,7.2,2,100,05:11 PM,05:45 AM,06:37 AM,05:41 PM,-1,2,5,2,23,45,67,0.0,1028,8,10,218,17,shanghai
2014-02-15,9,0,0.0,8.7,3,88,06:04 PM,06:20 AM,06:36 AM,05:42 PM,0,4,6,4,14,23,65,0.0,1027,9,10,64,10,shanghai
2014-02-16,8,5,0.0,4.2,2,81,06:58 PM,06:54 AM,06:35 AM,05:43 PM,6,5,8,5,24,76,88,2.3,1023,8,10,107,16,shanghai
2014-02-17,9,6,0.0,4.2,2,73,07:52 PM,07:28 AM,06:34 AM,05:43 PM,7,5,8,5,30,90,93,0.0,1021,9,10,231,20,shanghai
2014-02-18,4,2,0.0,4.2,1,66,08:47 PM,08:01 AM,06:33 AM,05:44 PM,4,-0,4,-0,32,100,97,3.1,1024,4,9,182,20,shanghai
2014-02-19,6,1,0.0,4.2,1,58,09:43 PM,08:36 AM,06:32 AM,05:45 PM,1,-1,3,-1,27,76,83,0.7,1027,6,8,315,19,shanghai
2014-02-20,9,1,0.0,7.2,2,51,10:40 PM,09:14 AM,06:31 AM,05:46 PM,1,4,6,4,17,15,72,0.0,1031,9,10,226,13,shanghai
2014-02-21,9,2,0.0,8.7,3,43,11:39 PM,09:54 AM,06:30 AM,05:47 PM,1,5,7,5,15,11,67,0.0,1031,9,10,104,11,shanghai
2014-02-22,10,4,0.0,7.2,2,36,No moonrise,10:39 AM,06:29 AM,05:47 PM,3,4,7,4,22,44,75,0.0,1029,10,10,109,15,shanghai
2014-02-23,12,5,0.0,8.7,3,28,12:39 AM,11:30 AM,06:28 AM,05:48 PM,5,7,9,7,18,13,77,0.0,1029,12,10,91,13,shanghai
2014-02-24,11,6,0.0,4.2,2,20,01:39 AM,12:26 PM,06:27 AM,05:49 PM,7,7,9,7,23,87,85,2.5,1026,11,9,108,15,shanghai
2014-02-25,10,9,0.0,4.2,2,13,02:36 AM,01:27 PM,06:26 AM,05:50 PM,9,7,10,7,32,100,97,4.5,1021,10,10,80,20,shanghai
2014-02-26,11,8,0.0,4.2,2,5,03:31 AM,02:32 PM,06:25 AM,05:50 PM,9,8,10,8,20,91,94,0.2,1022,11,6,342,14,shanghai
2014-02-27,14,7,0.0,5.7,3,0,04:22 AM,03:40 PM,06:24 AM,05:51 PM,9,10,11,10,10,62,86,0.2,1024,14,7,180,7,shanghai
2014-02-28,9,7,0.0,4.2,2,0,05:10 AM,04:48 PM,06:22 AM,05:52 PM,7,7,9,7,20,85,91,0.0,1021,9,10,72,14,shanghai
2014-03-01,8,5,0.0,4.2,2,0,05:54 AM,05:56 PM,06:21 AM,05:53 PM,5,4,7,4,24,88,88,5.6,1021,8,9,147,17,shanghai
2014-03-02,11,4,0.0,7.2,2,2,06:35 AM,07:02 PM,06:20 AM,05:53 PM,2,5,7,5,22,45,71,0.0,1024,11,10,151,16,shanghai
2014-03-03,12,6,0.0,8.7,3,9,07:17 AM,08:06 PM,06:19 AM,05:54 PM,4,7,9,7,26,36,69,0.3,1024,12,9,71,18,shanghai
2014-03-04,11,7,0.0,4.3,2,16,07:57 AM,09:09 PM,06:18 AM,05:55 PM,8,8,9,8,16,84,91,1.2,1022,11,9,141,11,shanghai
2014-03-05,10,4,0.0,8.7,3,24,08:38 AM,10:09 PM,06:17 AM,05:55 PM,2,5,7,5,24,18,71,0.0,1027,10,10,116,17,shanghai
2014-03-06,7,3,0.0,4.3,2,31,09:21 AM,11:07 PM,06:16 AM,05:56 PM,0,3,6,3,19,58,67,0.2,1029,7,10,61,14,shanghai
2014-03-07,10,3,0.0,7.2,2,38,10:05 AM,No moonset,06:15 AM,05:57 PM,0,4,7,4,21,32,63,0.0,1030,10,10,74,15,shanghai
